title,titleshort,imageURL,description,facet1,ASS,facet2,AMS,facet3,GIP,facet4
Agriculture,Agriculture,image/agriculture.jpg,A program that generally prepares individuals to sell. select. and service agricultural or agribusiness technical equipment and facilities. including computers. specialized software. power units. machinery. equipment structures. and utilities. Includes instruction in agricultural power systems. planning and selecting materials for the construction of support facilities. mechanical practices associated with irrigation and water conservation. erosion control. and agricultural data processing systems.,"Agriculture, Agriculture Operations, and Related Sciences","$38,000","$30,000-$39,999","$69,300","$60,000-$69,999",82.37%,80%-99%
Animal Science,Animal_Science,image/agriculture.jpg,A general program that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals. and the production. processing. and distribution of agricultural animal products. Includes instruction in the animal sciences. animal husbandry and production. and agricultural and food products processing.,"Agriculture, Agriculture Operations, and Related Sciences","$33,300","$30,000-$39,999","$53,200","$50,000-$59,999",59.76%,60%-79%
Food Science,Food_Science,image/agriculture.jpg,A program that focuses on the application of biological. chemical. and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption. and the storage of such products. Includes instruction in applicable aspects of the agricultural sciences. human physiology and nutrition. food chemistry. agricultural products processing. food additives. food preparation and packaging. food storage and shipment. and related aspects of human health and safety including toxicology and pathology.,"Agriculture, Agriculture Operations, and Related Sciences","$44,000","$40,000-$49,999","$81,100","$80,000-$89,999",84.32%,80%-99%
Horticulture,Horticulture,image/agriculture.jpg,A program that focuses on the scientific principles related to the cultivation of garden and ornamental plants. including fruits. vegetables. flowers. and landscape and nursery crops. Includes instruction in specific types of plants. such as citrus; breeding horticultural varieties; physiology of horticultural species; and the scientific management of horticultural plant development and production through the life cycle.,"Agriculture, Agriculture Operations, and Related Sciences","$36,800","$30,000-$39,999","$55,100","$50,000-$59,999",49.73%,40%-59%
Architecture,Architecture,image/architecture.jpg,A program that prepares individuals for the independent professional practice of architecture and to conduct research in various aspects of the field. Includes instruction in architectural design. history. and theory; building structures and environmental systems; project and site planning; construction; professional responsibilities and standards; and related cultural. social. economic. and environmental issues.,Architecture and Related Services,"$41,900","$40,000-$49,999","$75,200","$70,000-$79,999",79.47%,60%-79%
Graphic Design,Graphic_Design,image/architecture.jpg,A program that prepares individuals to apply artistic and computer techniques to the interpretation of technical and commercial concepts. Includes instruction in computer-assisted art and design. printmaking. concepts sketching. technical drawing. color theory. imaging. studio technique. still and life modeling. multimedia applications. communication skills and commercial art business operations,Architecture and Related Services,"$35,500","$30,000-$39,999","$55,500","$50,000-$59,999",56.34%,40%-59%
Interior Design,Interior_Design,image/architecture.jpg,A program in the applied visual arts that prepares individuals to apply artistic principles and techniques to the professional planning. designing. equipping. and furnishing of residential and commercial interior spaces. Includes instruction in computer applications. drafting. and graphic techniques; principles of interior lighting. acoustics. systems integration. and color coordination; furniture and furnishings; textiles and their finishing; the history of interior design and period styles; basic structural design; building codes and inspection regulations; and applications to office. hotel. factory. restaurant and housing design.,Architecture and Related Services,"$35,300","$30,000-$39,999","$57,500","$50,000-$59,999",62.89%,60%-79%
Landscape Architecture,Landscape_Architecture,image/architecture.jpg, A program that prepares individuals for the independent professional practice of landscape architecture and research in various aspects of the field. Includes instruction in geology and hydrology; soils. groundcovers. and horticultural elements; project and site planning; landscape design. history. and theory; environmental design; applicable law and regulations; and professional responsibilities and standards.,Architecture and Related Services,"$40,600","$40,000-$49,999","$66,300","$60,000-$69,999",63.30%,60%-79%
Urban Planning,Urban_Planning,image/architecture.jpg,A program that prepares individuals to apply principles of planning. analysis. and architecture to the development and improvement of urban areas and surrounding regions. and to function as professional planners. Includes instruction in principles of architecture; master plan development; service. communications. and transportation systems design; community and commercial development; zoning; land use planning; applied economics; policy analysis; applicable laws and regulations; and professional responsibilities and managerial duties.,Architecture and Related Services,"$39,000","$30,000-$39,999","$79,900","$70,000-$79,999",104.87%,100%-119%
Biochemistry (BCH),Biochemistry_BCH,image/biological.jpg,A program that focuses on the scientific study of the chemistry of living systems. their fundamental chemical substances and reactions. and their chemical pathways and information transfer systems. with particular reference to carbohydrates. proteins. lipids. and nucleic acids. Includes instruction in bio-organic chemistry. protein chemistry. bioanalytical chemistry. bioseparations. regulatory biochemistry. enzymology. hormonal chemistry. calorimetry. and research methods and equipment operation.,Biological and Biomedical Sciences,"$43,200","$40,000-$49,999","$88,500","$80,000-$89,999",104.86%,100%-119%
